price,per,monthly_converted,property_type,postal_code_area,Available,Minimum term,Maximum term,Furnishings,Parking,Garage,Garden/terrace,Balcony/patio,Disabled access,Living room,Broadband included,Couples OK?,Smoking OK?,Pets OK?,Occupation,References?,Gender,Vegetarian,Min age,Max age
960,pcm,,Flat share,SW15,15/05/2023,12,0,Furnished,Yes,No,Yes,No,No,shared,Yes,No,No,No,Professional,Yes,No preference,,28,42
230,pw,995.90,Flat share,E3,Now,6,0,Furnished,No,No,No,Yes,No,No,Yes,No,Yes,No,Don't mind,Yes,No preference,,,
650,pcm,,Flat share,W3,01/06/2023,0,0,Furnished,No,No,Yes,No,No,shared,Yes,No,Yes,Yes,Don't mind,Yes,No preference,,,
799,pcm,,Shared property,SW16,30/04/2023,5,0,Furnished,No,No,Yes,No,No,No,Yes,No,No,No,Don't mind,No,No preference,,,35
215,pw,930.95,Flat share,SW19,Now,0,0,Furnished,No,,,Yes,,No,Yes,No,Yes,No,Don't mind,No,No preference,,,
800,pcm,,Flat share,SW11,Now,0,0,Furnished,Yes,No,No,Yes,No,shared,Yes,No,No,No,Don't mind,No,Male,,18,99
195,pw,844.35,Shared property,N22,17/04/2023,6,0,Furnished,No,,,,,No,Yes,No,No,No,Don't mind,No,No preference,,18,50
1500,pcm,,Flat share,SE16,27/05/2023,0,3,Furnished,No,No,No,Yes,No,shared,Yes,Yes,Yes,No,Don't mind,No,No preference,,22,35
740,pcm,,Flat share,E14,12/05/2023,12,0,Furnished,No,,,,,No,Yes,No,No,No,Professional,No,Male,,35,60
900,pcm,,House share,E7,17/04/2023,12,0,Furnished,Yes,No,Yes,No,No,shared,Yes,No,No,No,Don't mind,Yes,Female,,18,
800,pcm,,Flat share,SE14,01/05/2023,0,12,Unfurnished,No,No,Yes,No,No,shared,No,No,Yes,Yes,Professional,Yes,No preference,,34,44
850,pcm,,Flat share,SW8,Now,12,0,Furnished,No,,,,,No,Yes,No,No,No,Don't mind,No,No preference,,,
1150,pcm,,Flat share,N16,01/06/2023,2,0,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Don't mind,No,No preference,,28,36
240,pw,1039.20,Flat share,SE1,07/05/2023,6,0,Furnished,No,No,No,Yes,No,No,Yes,No,Yes,No,Don't mind,No,No preference,,18,
980,pcm,,House share,NW4,06/05/2023,12,0,Furnished,No,,Yes,,,shared,Yes,No,No,No,Don't mind,Yes,Female,,20,35
1100,pcm,,Flat share,SW5,08/09/2023,3,24,Furnished,Yes,,,Yes,,shared,Yes,No,No,No,Don't mind,No,No preference,,18,35
1100,pcm,,Flat rent,E14,Now,6,0,Furnished,No,No,No,No,Yes,,,,No,No,Don't mind,Yes,No preference,,,
1200,pcm,,Flat share,N7,15/05/2023,6,0,Furnished,No,,Yes,,,shared,No,No,No,No,Professional,Yes,No preference,,27,
895,pcm,,House share,SE6,01/05/2023,6,0,Furnished,Yes,No,Yes,Yes,No,shared,Yes,No,No,No,Professional,Yes,No preference,,22,35
950,pcm,,House share,SE16,24/04/2023,6,0,Furnished,Yes,No,Yes,No,No,shared,Yes,No,Yes,No,Professional,Yes,No preference,,21,37
850,pcm,,House share,E10,15/05/2023,0,0,Furnished,Yes,,Yes,Yes,,shared,Yes,No,Yes,No,Professional,No,No preference,Yes,25,50
1050,pcm,,Flat share,E1,08/05/2023,5,0,Furnished,No,No,No,No,No,shared,No,Yes,Yes,No,Don't mind,Yes,No preference,,,
866,pcm,,Flat share,W12,23/04/2023,6,12,Furnished,No,No,No,No,No,shared,No,No,No,No,Professional,Yes,Female,,24,32
775,pcm,,Flat share,E14,16/05/2023,6,0,Furnished,No,,,,,No,Yes,No,Yes,No,Professional,Yes,No preference,,,
775,pcm,,Flat rent,E2,13/06/2023,3,0,Furnished,No,,Yes,,Yes,,,,Yes,No,Student,No,No preference,,,
850,pcm,,Flat share,E1,Now,6,0,Furnished,No,No,No,No,No,shared,,No,No,No,Don't mind,Yes,No preference,,19,65
700,pcm,,Flat share,E1,Now,0,0,Furnished,No,No,No,No,No,shared,,No,No,No,Don't mind,Yes,No preference,,19,65
693,pcm,,House share,NW10,20/04/2023,3,0,Furnished,Yes,,Yes,Yes,,,Yes,No,No,No,Don't mind,Yes,No preference,,20,36
2300,pcm,,Flat share,E14,07/06/2023,6,0,Furnished,No,No,Yes,No,No,shared,No,Yes,No,No,Professional,Yes,No preference,,18,65
780,pcm,,Shared property,W4,Now,0,0,Unfurnished,No,No,Yes,No,No,shared,No,No,No,No,Professional,Yes,No preference,,21,60
780,pcm,,Flat rent,SE20,02/05/2023,2,2,Furnished,Yes,No,Yes,No,No,,,,No,No,Don't mind,No,No preference,,,
1197,pcm,,Flat share,W4,Now,6,0,Furnished,No,No,No,No,No,shared,No,Yes,No,No,Professional,Yes,No preference,,18,70
752,pcm,,Flat share,SW19,13/05/2023,6,0,Furnished,No,No,Yes,No,No,shared,No,No,No,No,Professional,Yes,Female,,27,39
752,pcm,,Flat rent,W14,07/05/2023,5,0,Furnished,No,No,No,No,No,,,,No,No,Don't mind,No,No preference,,,
752,pcm,,Flat rent,W14,07/05/2023,5,0,Furnished,No,No,No,Yes,No,,,,No,No,Don't mind,No,No preference,,,
752,pcm,,House rent,N22,Now,12,0,Part Furnished,Yes,Yes,Yes,No,No,,,,No,No,Professional,No,No preference,,,
430,pcm,,House share,E12,21/05/2023,2,0,Furnished,Yes,,Yes,,,shared,Yes,No,No,No,Professional,Yes,No preference,,25,40
945,pcm,,Flat share,E3,07/05/2023,1,0,Furnished,Yes,,,,,shared,Yes,No,Yes,No,Don't mind,No,No preference,,20,35
900,pcm,,Flat share,SW9,12/06/2023,12,12,Furnished,No,,Yes,Yes,,shared,Yes,No,No,No,Professional,Yes,Female,,23,33
725,pcm,,Flat share,SW4,25/04/2023,6,0,Furnished,No,,,,,,,No,Yes,No,Don't mind,No,No preference,,22,30
275,pw,1190.75,Flat share,W11,Now,3,0,Furnished,No,,,,,No,Yes,No,Yes,No,Don't mind,No,No preference,,18,65
750,pcm,,Flat share,SE14,10/06/2023,2,2,Furnished,Yes,,,,,shared,Yes,Yes,Yes,No,Don't mind,No,No preference,,,
725,pcm,,House share,E15,Now,4,4,Furnished,No,,Yes,,,shared,No,No,No,No,Don't mind,No,No preference,,,
185,pw,801.05,Flat share,N22,01/05/2023,0,0,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Don't mind,No,No preference,,,
160,pw,692.80,House share,E4,01/05/2023,6,0,Furnished,Yes,No,No,No,No,No,Yes,No,No,No,Professional,No,Female,,20,35
950,pcm,,Flat share,SW9,23/04/2023,4,4,Furnished,Yes,,,Yes,,shared,Yes,No,No,No,Professional,Yes,No preference,,30,39
850,pcm,,Flat share,SW4,01/05/2023,3,0,Furnished,No,,,Yes,,shared,Yes,No,Yes,No,Professional,Yes,Female,,23,28
782,pcm,,Flat share,SE16,29/05/2023,0,0,Furnished,No,,,Yes,,shared,Yes,No,No,No,Professional,Yes,Female,,25,30
746,pcm,,House share,SW11,Now,12,0,Furnished,No,Yes,Yes,,,shared,Yes,No,No,No,Professional,Yes,Female,Yes,23,27
760,pcm,,Flat share,N5,17/06/2023,12,0,Furnished,No,No,No,Yes,No,shared,Yes,No,No,No,Professional,Yes,Female,,28,38
1000,pcm,,Flat share,E14,09/07/2023,1,2,Furnished,Yes,No,No,Yes,No,shared,Yes,No,No,No,Don't mind,Yes,No preference,,18,30
950,pcm,,House share,SW19,13/05/2023,6,0,Furnished,No,,Yes,,,shared,Yes,No,No,No,Don't mind,Yes,No preference,,20,40
1000,pcm,,Flat share,SW1,24/06/2023,3,0,Furnished,No,,Yes,Yes,,shared,Yes,No,No,No,Don't mind,No,No preference,,,
1000,pcm,,Flat share,SW17,21/04/2023,12,0,Furnished,No,No,No,No,No,No,No,Yes,No,No,Don't mind,Yes,No preference,,18,
850,pcm,,Flat share,W5,01/06/2023,12,0,Furnished,Yes,,Yes,,,No,Yes,No,No,No,Don't mind,No,Female,,25,40
1200,pcm,,House share,N4,26/05/2023,0,0,Furnished,No,,Yes,Yes,,No,Yes,No,No,No,Professional,No,No preference,,24,40
750,pcm,,House share,NW2,07/05/2023,6,0,Furnished,No,No,Yes,No,No,shared,Yes,No,Yes,No,Don't mind,No,No preference,,20,40
550,pcm,,House share,W6,Now,0,0,Furnished,No,No,Yes,No,No,No,Yes,No,Yes,No,Don't mind,No,Female,,18,99
850,pcm,,Flat share,E1,Now,0,0,Furnished,No,No,No,Yes,No,shared,No,No,Yes,No,Don't mind,No,No preference,,,
870,pcm,,Flat share,E14,Now,6,0,Furnished,No,,,Yes,,shared,,No,Yes,No,Don't mind,No,No preference,,21,29
870,pcm,,Flat rent,SW6,10/06/2023,12,24,Unfurnished,No,No,Yes,No,No,,,,No,Yes,Professional,Yes,No preference,,,
1500,pcm,,Flat share,E14,27/05/2023,0,2,Furnished,No,,Yes,Yes,,shared,Yes,No,No,No,Don't mind,No,No preference,,,
375,pw,1623.75,Flat share,E1,06/05/2023,4,12,Furnished,No,,,,,No,Yes,No,No,No,Professional,No,No preference,,,
250,pw,1082.50,Flat share,SE16,Now,1,0,Furnished,Yes,No,No,No,No,shared,Yes,Yes,No,No,Don't mind,No,No preference,,24,
975,pcm,,Flat share,SW6,29/05/2023,11,11,Furnished,No,No,No,No,No,shared,No,No,Yes,No,Professional,Yes,Female,,25,30
715,pcm,,Flat share,SW9,14/05/2023,0,0,Furnished,Yes,,,,,shared,,No,No,No,Professional,No,No preference,,28,38
800,pcm,,House share,NW2,Now,6,0,Furnished,No,,Yes,,,shared,Yes,No,No,No,Professional,No,Female,,18,50
850,pcm,,Flat share,N7,29/05/2023,1,2,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Professional,Yes,No preference,,25,
850,pcm,,Flat share,SW2,Now,0,0,Furnished,No,No,Yes,Yes,No,shared,Yes,No,No,No,Professional,Yes,Male,,29,43
625,pcm,,Flat share,SW11,04/06/2023,6,0,Furnished,No,,,Yes,,shared,Yes,No,No,No,Professional,No,Female,,25,32
840,pcm,,Flat share,SE22,18/05/2023,4,4,Unfurnished,No,No,No,No,No,shared,No,No,Yes,Yes,Professional,No,No preference,,25,35
670,pcm,,House share,E3,15/06/2023,3,0,Furnished,No,No,No,No,No,shared,No,No,Yes,No,Professional,No,No preference,,27,35
800,pcm,,House share,E6,Now,1,0,Furnished,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Don't mind,Yes,No preference,,,
1300,pcm,,Flat share,SW11,25/04/2023,0,0,Furnished,No,No,No,Yes,No,shared,Yes,Yes,Yes,Yes,Don't mind,No,No preference,,,
900,pcm,,House share,SE14,01/06/2023,0,4,Furnished,No,,Yes,,,,Yes,No,No,No,Don't mind,No,Female,,,
1050,pcm,,Flat share,NW9,29/05/2023,6,0,Furnished,Yes,Yes,Yes,Yes,Yes,shared,Yes,No,Yes,No,Don't mind,No,Female,,,
850,pcm,,Flat share,E1,29/04/2023,0,1,Furnished,No,,,,,,,No,Yes,No,Don't mind,No,No preference,,22,30
845,pcm,,Flat share,SE15,01/05/2023,2,0,Unfurnished,No,No,Yes,Yes,No,shared,No,No,Yes,No,Don't mind,No,No preference,,27,
600,pcm,,Flat share,SE6,17/04/2023,3,0,Furnished,No,No,Yes,No,No,shared,Yes,No,No,No,Don't mind,No,Male,,,
300,pw,1299.00,Flat share,NW1,20/04/2023,2,0,Furnished,No,No,Yes,No,No,shared,Yes,No,No,No,Don't mind,Yes,Female,,,
1235,pcm,,Flat share,SE10,20/05/2023,5,0,Furnished,No,,,,,No,Yes,Yes,Yes,No,Don't mind,No,No preference,,18,30
1325,pcm,,Flat share,SE5,Now,0,12,Furnished,No,No,Yes,Yes,No,shared,Yes,No,No,No,Don't mind,No,No preference,,22,50
900,pcm,,House share,NW9,Now,1,2,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Don't mind,No,No preference,,,
750,pcm,,House share,SW16,01/05/2023,6,0,Furnished,Yes,,Yes,,,,Yes,No,No,No,Don't mind,Yes,No preference,,24,45
960,pcm,,Flat share,SW15,15/05/2023,12,0,Furnished,Yes,No,Yes,No,No,shared,Yes,No,No,No,Professional,Yes,No preference,,28,42
750,pcm,,Flat share,SW15,20/05/2023,4,0,Furnished,Yes,No,No,No,No,shared,No,No,No,No,Professional,No,No preference,,26,33
950,pcm,,Flat share,E9,24/04/2023,2,0,Furnished,No,No,No,No,No,shared,Yes,No,Yes,No,Professional,No,No preference,,25,40
600,pcm,,Flat share,W9,11/06/2023,6,0,Unfurnished,No,,,Yes,,shared,Yes,No,No,No,Don't mind,Yes,No preference,,20,30
700,pcm,,Flat share,SW9,Now,6,0,Furnished,No,No,No,No,No,No,Yes,No,No,No,Professional,Yes,Female,,38,50
750,pcm,,House share,N17,Now,6,6,Furnished,No,,,,,,Yes,No,No,No,Don't mind,Yes,Female,,23,29
850,pcm,,Flat share,SE5,17/04/2023,6,0,Furnished,Yes,No,Yes,No,No,No,Yes,No,No,No,Professional,No,No preference,,23,50
900,pcm,,Flat share,N20,Now,12,0,Furnished,No,No,No,No,No,No,Yes,No,No,No,Don't mind,Yes,No preference,,18,35
850,pcm,,Flat share,E14,Now,0,4,Unfurnished,Yes,,,Yes,,,Yes,No,Yes,No,Don't mind,No,No preference,Yes,,
1500,pcm,,Flat share,SW10,25/04/2023,3,0,Furnished,No,No,No,No,No,shared,Yes,No,No,No,Don't mind,No,No preference,,,
1200,pcm,,House share,E11,Now,0,6,Furnished,Yes,,Yes,,,shared,,No,Yes,No,Don't mind,No,No preference,,,
900,pcm,,Flat share,SW15,Now,6,0,Furnished,Yes,,Yes,,,,Yes,No,Yes,No,Don't mind,No,No preference,,21,47
800,pcm,,Flat share,SW2,15/07/2023,6,6,Furnished,Yes,No,No,Yes,No,shared,No,Yes,No,No,Don't mind,No,No preference,,23,45
800,pcm,,Flat rent,N1,01/06/2023,0,4,Furnished,No,No,No,No,No,,,,Yes,Yes,Don't mind,No,No preference,,,
170,pw,736.10,Flat share,N7,Now,6,0,Furnished,No,,,,,shared,Yes,No,No,No,Don't mind,No,No preference,,20,38
880,pcm,,Flat share,NW6,16/06/2023,12,0,Furnished,No,No,Yes,No,No,shared,No,No,No,No,Professional,Yes,No preference,,28,40
850,pcm,,Flat share,SW19,01/06/2023,2,0,Furnished,Yes,No,No,Yes,No,shared,Yes,No,No,No,Professional,Yes,Female,,23,35
1050,pcm,,Flat share,N4,01/06/2023,6,0,Unfurnished,No,No,No,Yes,No,shared,No,No,No,No,Professional,Yes,No preference,,30,40
1050,pcm,,Flat rent,NW4,Now,6,0,Furnished,No,No,No,No,No,,,,No,No,Don't mind,Yes,No preference,,,
1050,pcm,,Flat rent,SE17,17/06/2023,0,0,Furnished,No,,,,Yes,,,,No,No,Student,No,No preference,,,
750,pcm,,Flat share,SE23,05/06/2023,6,0,Furnished,Yes,,Yes,,,shared,Yes,No,No,No,Don't mind,No,No preference,,25,99
750,pcm,,Flat rent,E5,15/05/2023,1,3,Furnished,No,,Yes,,,,,,No,No,Professional,No,No preference,,,
1100,pcm,,Flat share,W5,21/04/2023,6,0,Furnished,Yes,,,Yes,,,Yes,No,No,No,Professional,Yes,No preference,,22,39
1075,pcm,,Flat share,N4,Now,0,0,Furnished,No,,,Yes,,shared,Yes,No,No,No,Professional,No,Female,,28,35
615,pcm,,House share,SW17,01/05/2023,6,12,Furnished,Yes,No,Yes,No,No,shared,No,No,No,No,Professional,No,No preference,,18,28
650,pcm,,Flat share,NW3,15/05/2023,3,6,Furnished,No,No,No,No,No,No,Yes,No,Yes,No,Professional,No,Male,,21,25
900,pcm,,Flat share,SW12,15/05/2023,6,0,Furnished,No,No,Yes,No,No,shared,No,No,No,No,Professional,Yes,Female,,28,35
900,pcm,,Flat rent,N15,Now,1,2,Furnished,No,No,No,No,No,,,,Yes,Yes,Don't mind,No,No preference,,,
830,pcm,,House share,SW4,Now,12,0,Furnished,Yes,,,Yes,,shared,Yes,No,No,No,Professional,No,No preference,,24,30
